Time_PT,Open,High,Low,Close,Volume,Trades,BidVolume,AskVolume,Delta
2026-08-13 08:55:48-07:00,7800.5,7800.75,7800.5,7800.75,4,3,0,4,4
2026-08-13 08:55:49-07:00,7800.75,7801.25,7800.5,7801.0,47,40,19,28,9
2026-08-13 08:55:50-07:00,7801.0,7801.25,7800.75,7801.0,7,7,2,5,3
2026-08-13 08:55:51-07:00,7801.0,7801.0,7800.75,7801.0,11,11,4,7,3
2026-08-13 08:55:52-07:00,7801.0,7801.0,7800.75,7800.75,8,7,8,0,-8
2026-08-13 08:55:53-07:00,7800.75,7800.75,7800.75,7800.75,0,0,0,0,0
2026-08-13 08:55:54-07:00,7800.75,7800.75,7800.5,7800.75,1,1,0,1,1
2026-08-13 08:55:55-07:00,7800.75,7801.0,7800.5,7800.75,34,22,12,22,10
2026-08-13 08:55:56-07:00,7800.75,7801.25,7800.75,7801.0,19,13,2,17,15
2026-08-13 08:55:57-07:00,7801.0,7801.25,7801.0,7801.0,6,4,4,2,-2
2026-08-13 08:55:58-07:00,7801.0,7801.0,7801.0,7801.0,0,0,0,0,0
2026-08-13 08:55:59-07:00,7801.0,7801.5,7801.0,7801.25,50,37,7,43,36
2026-08-13 08:56:00-07:00,7801.25,7801.25,7800.75,7801.0,56,43,31,25,-6
2026-08-13 08:56:01-07:00,7801.0,7801.0,7800.75,7801.0,1,1,0,1,1
2026-08-13 08:56:02-07:00,7801.0,7801.25,7800.75,7801.0,22,18,3,19,16
2026-08-13 08:56:03-07:00,7801.0,7801.25,7801.0,7801.25,14,11,0,14,14
2026-08-13 08:56:04-07:00,7801.25,7801.5,7801.25,7801.5,3,3,0,3,3
2026-08-13 08:56:05-07:00,7801.5,7801.75,7801.0,7801.5,33,27,15,18,3
2026-08-13 08:56:06-07:00,7801.5,7801.75,7801.25,7801.5,10,10,4,6,2
2026-08-13 08:56:07-07:00,7801.5,7801.75,7801.5,7801.5,2,2,2,0,-2
2026-08-13 08:56:08-07:00,7801.5,7801.75,7801.5,7801.5,8,8,8,0,-8
2026-08-13 08:56:09-07:00,7801.5,7801.75,7801.5,7801.75,5,3,0,5,5
2026-08-13 08:56:10-07:00,7801.75,7802.0,7801.25,7802.25,81,62,24,57,33
2026-08-13 08:56:11-07:00,7802.25,7802.5,7802.0,7802.0,55,37,32,23,-9
2026-08-13 08:56:12-07:00,7802.0,7802.5,7801.5,7801.75,72,51,63,9,-54
2026-08-13 08:56:13-07:00,7801.75,7801.75,7801.5,7801.75,19,12,0,19,19
2026-08-13 08:56:14-07:00,7801.75,7802.0,7801.75,7802.0,2,2,0,2,2
2026-08-13 08:56:15-07:00,7802.0,7802.0,7801.75,7802.0,2,2,1,1,0
2026-08-13 08:56:16-07:00,7802.0,7802.0,7801.25,7801.5,32,28,24,8,-16
